schemaVersion,source.name,source.url,collectedAt,recordType,content.company,content.date,content.is_remote,content.role_family,content.title
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/raisin/senior-performance-marketing-manager-berlin-berlin-85338,2026-08-26T14:11:10.012792Z,JOB,Raisin,2026-08-26T11:55:14Z,False,,Senior Performance Marketing Manager (m/f/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/senior-product-designer-berlin-422212,2026-08-26T14:11:10.014136Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Senior Product Designer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/senior-quality-assurance-engineer-berlin-444956,2026-08-26T14:11:10.014644Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Senior Quality Assurance Engineer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/staff-backend-engineer-germany-402753,2026-08-26T14:11:10.015142Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Staff Backend Engineer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/senior-frontend-engineer-germany-140699,2026-08-26T14:11:10.015577Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Senior Frontend Engineer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/staff-frontend-engineer-germany-117603,2026-08-26T14:11:10.016040Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Staff Frontend Engineer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trading212/senior-backend-engineer-germany-97285,2026-08-26T14:11:10.016572Z,JOB,Trading212,2026-08-26T11:40:30Z,False,,Senior Backend Engineer
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/fischer-partner-gesellschaft-fur-personal-mbh/teamleiter-finanzbuchhaltung-mit-erfahrung-aus-der-prozessoptimierung-stuttgart-423856,2026-08-26T14:11:10.020545Z,JOB,Fischer Partner Gesellschaft Fur Personal Mbh,2026-08-26T11:30:36Z,False,,Teamleiter Finanzbuchhaltung (w/m/d) mit Erfahrung aus der Prozessoptimierung
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/zukunftsmotor-gmbh/senior-program-operations-managerin-berlin-337293,2026-08-26T14:11:10.021998Z,JOB,Zukunftsmotor,2026-08-26T11:30:28Z,False,,(Senior) Program Operations Manager*in (d/m/w)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/zukunftsmotor-gmbh/senior-operations-manager-berlin-212677,2026-08-26T14:11:10.022438Z,JOB,Zukunftsmotor,2026-08-26T11:30:28Z,False,,(Senior) Operations Manager (d/m/w)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/zukunftsmotor-gmbh/senior-course-operations-managerin-berlin-40191,2026-08-26T14:11:10.022876Z,JOB,Zukunftsmotor,2026-08-26T11:30:28Z,False,,(Senior) Course Operations Manager*in (d/m/w)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/doo/werkstudentin-finance-schwerpunkt-accounting-controlling-munchen-213358,2026-08-26T14:11:10.024292Z,JOB,Doo,2026-08-26T11:30:27Z,False,,Werkstudent*in Finance (Schwerpunkt Accounting/Controlling)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/esanum/werkstudent-online-marketing-berlin-54060,2026-08-26T14:11:10.025575Z,JOB,Esanum,2026-08-26T11:30:25Z,False,,Werkstudent Online Marketing (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/kevin-kehr/remote-werkstudent-finance-beratung-unternehmerisch-leistungsbasiert-hamburg-49703,2026-08-26T14:11:10.026918Z,JOB,Kevin Kehr,2026-08-26T11:30:24Z,True,,"Werkstudent (m/w/d) – Finance & Beratung (unternehmerisch, leistungsbasiert)"
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/vrt-partnerschaft-mbb-wirtschaftsprufer-steuerberater-rechtsanwalte/it-systemadministrator-support-infrastruktur-bonn-201022,2026-08-26T14:11:10.028863Z,JOB,Vrt Partnerschaft Mbb Wirtschaftsprufer Steuerberater Rechtsanwalte,2026-08-26T11:30:07Z,False,,IT-Systemadministrator (m/w/d) – Support & Infrastruktur
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/snke/solution-consultant-snke-data-munchen-240084,2026-08-26T14:11:10.030111Z,JOB,Snke,2026-08-26T11:29:55Z,False,,Solution Consultant – Snke Data
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/snke/senior-software-engineer-full-stack-healthcare-applications-munchen-423647,2026-08-26T14:11:10.030491Z,JOB,Snke,2026-08-26T11:29:55Z,False,,Senior Software Engineer (Full-Stack) - Healthcare Applications
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/snke/senior-accountant-voll-oder-teilzeit-munchen-216331,2026-08-26T14:11:10.030857Z,JOB,Snke,2026-08-26T11:29:55Z,False,,Senior Accountant (m/w/d) (Voll- oder Teilzeit)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/real-digital/remote-senior-ux-researcher-all-genders-96842,2026-08-26T14:11:10.032187Z,JOB,Real Digital,2026-08-26T11:29:53Z,False,,(Senior) UX Researcher (all genders)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/real-digital/remote-senior-business-automation-developer-all-genders-i-international-9993,2026-08-26T14:11:10.032573Z,JOB,Real Digital,2026-08-26T11:29:53Z,False,,(Senior) Business Automation Developer (all genders) I International
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/arculus/infrastructure-engineer-deployments-munich-24378,2026-08-26T14:11:10.033747Z,JOB,Arculus,2026-08-26T11:29:40Z,False,,Infrastructure Engineer - Deployments (d/f/m)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/sti/senior-business-consultant-servicenow-mit-schwerpunkt-crm-csm-munchen-366482,2026-08-26T14:11:10.034921Z,JOB,Sti,2026-08-26T11:29:33Z,False,,Senior Business Consultant ServiceNow mit Schwerpunkt CRM/CSM (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/simcon/remote-werkstudentin-simulation-application-engineering-93133,2026-08-26T14:11:10.036083Z,JOB,Simcon,2026-08-26T11:29:07Z,False,,Werkstudent:in Simulation & Application Engineering (m/w/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/oh-so/senior-product-owner-program-manager-hamburg-355877,2026-08-26T14:11:10.037334Z,JOB,Oh So,2026-08-26T11:29:03Z,False,,Senior Product Owner / Program Manager (m/f/d)
1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/playtestcloud-gmbh/panel-manager-freelancer-contractor-100-remote-possible-berlin-200703,2026-08-26T14:11:10.038876Z,JOB,Playtestcloud,2026-08-26T11:20:12Z,False,,Panel Manager (f/m/d) - Freelancer / Contractor; 100% remote possible
