schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/rise-reforming,2026-08-26T14:11:08.798306Z,STARTUP,Rise Reforming,4
1.0,Y Combinator,https://www.ycombinator.com/companies/lyon,2026-08-26T14:11:08.799252Z,STARTUP,Lyon,2
1.0,Y Combinator,https://www.ycombinator.com/companies/instaplay,2026-08-26T14:11:08.800287Z,STARTUP,Instaplay,3
1.0,Y Combinator,https://www.ycombinator.com/companies/verdant,2026-08-26T14:11:08.801470Z,STARTUP,Verdant,2
1.0,Y Combinator,https://www.ycombinator.com/companies/impact-drones,2026-08-26T14:11:08.802540Z,STARTUP,Impact Drones,2
1.0,Y Combinator,https://www.ycombinator.com/companies/insurf,2026-08-26T14:11:08.803518Z,STARTUP,Insurf,2
1.0,Y Combinator,https://www.ycombinator.com/companies/jcode,2026-08-26T14:11:08.804595Z,STARTUP,Jcode,1
1.0,Y Combinator,https://www.ycombinator.com/companies/lemonlime,2026-08-26T14:11:08.805623Z,STARTUP,Lemonlime,5
1.0,Y Combinator,https://www.ycombinator.com/companies/gutgutgoose,2026-08-26T14:11:08.806676Z,STARTUP,Gutgutgoose,2
1.0,Y Combinator,https://www.ycombinator.com/companies/speko,2026-08-26T14:11:08.807671Z,STARTUP,Speko,4
1.0,Y Combinator,https://www.ycombinator.com/companies/synapse-semiconductor,2026-08-26T14:11:08.808763Z,STARTUP,Synapse Semiconductor,2
1.0,Y Combinator,https://www.ycombinator.com/companies/understudy-labs,2026-08-26T14:11:08.809807Z,STARTUP,Understudy,2
1.0,Y Combinator,https://www.ycombinator.com/companies/rote,2026-08-26T14:11:08.810714Z,STARTUP,Rote,0
1.0,Y Combinator,https://www.ycombinator.com/companies/prized,2026-08-26T14:11:08.811610Z,STARTUP,Prized,2
1.0,Y Combinator,https://www.ycombinator.com/companies/studio,2026-08-26T14:11:08.812632Z,STARTUP,Studio,2
1.0,Y Combinator,https://www.ycombinator.com/companies/bernard,2026-08-26T14:11:08.813609Z,STARTUP,Bernard,9
1.0,Y Combinator,https://www.ycombinator.com/companies/maingen,2026-08-26T14:11:08.814593Z,STARTUP,Maingen,2
1.0,Y Combinator,https://www.ycombinator.com/companies/enact,2026-08-26T14:11:08.815627Z,STARTUP,Enact,2
1.0,Y Combinator,https://www.ycombinator.com/companies/rex-inc,2026-08-26T14:11:08.816654Z,STARTUP,Rex,2
1.0,Y Combinator,https://www.ycombinator.com/companies/zomma,2026-08-26T14:11:08.818135Z,STARTUP,Zomma,5
1.0,Y Combinator,https://www.ycombinator.com/companies/nebula-security,2026-08-26T14:11:08.819163Z,STARTUP,Nebula Security,4
